OBJECTID,VALUE,long,lat,X,Y
10405,385013,-122.3907627,47.59020272,-122.3907627,47.59020272
10406,0,-122.3907627,47.59020272,-122.3907627,47.59020272
10407,241031,-122.3772694,47.67275879,-122.3772694,47.67275879
10408,0,-122.3772612,47.67511084,-122.3772612,47.67511084
10409,326289,-122.3772612,47.67511084,-122.3772612,47.67511084
10410,253929,-122.3169308,47.58929836,-122.3169308,47.58929836
10411,0,-122.3169308,47.58929836,-122.3169308,47.58929836
10412,253929,-122.3169308,47.58929836,-122.3169308,47.58929836
10413,0,-122.3772788,47.66897539,-122.3772788,47.66897539
10414,416510,-122.309086,47.61472228,-122.309086,47.61472228
10415,477740,-122.3086901,47.58928268,-122.3086901,47.58928268
10416,604220,-122.2846634,47.63292368,-122.2846634,47.63292368
10417,0,-122.2846634,47.63292368,-122.2846634,47.63292368
10418,2592794,-122.3117147,47.6146892,-122.3117147,47.6146892
10419,489106,-122.3780157,47.69433535,-122.3780157,47.69433535
10420,175000,-122.3146199,47.58927801,-122.3146199,47.58927801
10421,0,-122.3275785,47.61481363,-122.3275785,47.61481362
10422,0,-122.3114073,47.58923159,-122.3114073,47.58923159
10423,35000,-122.3866022,47.58862018,-122.3866022,47.58862018
10424,180305,-122.3106952,47.59815793,-122.3106952,47.59815793
10425,0,-122.2995571,47.61601876,-122.2995571,47.61601876
10426,23675793,-122.3565473,47.63664219,-122.3565473,47.63664219
10427,0,-122.3427854,47.63426279,-122.3427854,47.63426279
10428,403345,-122.3793211,47.67437916,-122.3793211,47.67437916
10429,0,-122.3793211,47.67437916,-122.3793211,47.67437916
10430,175000,-122.2985425,47.61677628,-122.2985425,47.61677628
10431,241750,-122.2972292,47.61682829,-122.2972292,47.61682829
10432,443169,-122.3102676,47.58888391,-122.3102676,47.58888391
10433,5000,-122.3106591,47.69506179,-122.3106591,47.69506179
10434,263403,-122.3779039,47.672646,-122.3779039,47.672646
10435,283133,-122.3778884,47.67545387,-122.3778884,47.67545387
10436,18000000,-122.3780167,47.66900313,-122.3780167,47.66900313
10437,143052,-122.3110095,47.58895134,-122.3110095,47.58895134
10438,545752,-122.3053711,47.58855362,-122.3053711,47.58855362
10439,16000,-122.3104198,47.69560089,-122.3104198,47.69560089
10440,11520190,-122.3780408,47.66926208,-122.3780408,47.66926208
10441,11520190,-122.3780408,47.66926208,-122.3780408,47.66926208
10442,336163,-122.3779203,47.67208729,-122.3779203,47.67208729
10443,301185,-122.3122532,47.58724084,-122.3122532,47.58724084
10444,193935,-122.2926661,47.6155321,-122.2926661,47.6155321
10445,105207,-122.2872924,47.61545759,-122.2872924,47.61545759
10446,0,-122.2787913,47.63359086,-122.2787912,47.63359086
10447,339543,-122.2787913,47.63359086,-122.2787912,47.63359086
10448,351188,-122.2796345,47.63368769,-122.2796345,47.63368769
10449,0,-122.2796345,47.63368769,-122.2796345,47.63368769
10450,0,-122.3867103,47.58898011,-122.3867103,47.58898011
10451,0,-122.3867103,47.58898011,-122.3867103,47.58898011
10452,68921,-122.3886414,47.58898046,-122.3886414,47.58898046
10453,90000,-122.3456855,47.63345893,-122.3456855,47.63345893
10454,150000,-122.3107428,47.63436826,-122.3107427,47.63436826
10455,400847,-122.3385612,47.66231395,-122.3385612,47.66231395
10456,64175,-122.3102574,47.6705067,-122.3102574,47.6705067
10457,84842,-122.3051016,47.61565629,-122.3051016,47.61565629
10458,227733,-122.3049278,47.58867607,-122.3049278,47.58867607
10459,50000,-122.3116,47.73233978,-122.3116,47.73233978
10460,348734,-122.3774975,47.67183861,-122.3774974,47.67183861
10461,0,-122.3774975,47.67183861,-122.3774974,47.67183861
10462,7092787,-122.3131492,47.61506073,-122.3131492,47.61506073
10463,7092787,-122.3131492,47.61506073,-122.3131492,47.61506073
10464,0,-122.2938545,47.58859968,-122.2938545,47.58859968
10465,383974,-122.2938545,47.58859968,-122.2938545,47.58859968
10466,122926,-122.3613588,47.63321067,-122.3613588,47.63321067
10467,278460,-122.390952,47.59007502,-122.390952,47.59007502
10468,328709,-122.3123503,47.63587781,-122.3123503,47.63587781
10469,0,-122.3123503,47.63587781,-122.3123503,47.63587781
10470,15000,-122.3700202,47.63335611,-122.3700202,47.63335611
10471,200000,-122.3085291,47.61496239,-122.3085291,47.61496239
10472,220616,-122.30472,47.58867537,-122.30472,47.58867537
10473,273519,-122.2998598,47.58856783,-122.2998598,47.58856783
10474,273519,-122.2998598,47.58856783,-122.2998598,47.58856783
10475,0,-122.2998598,47.58856783,-122.2998598,47.58856783
10476,0,-122.3070742,47.58879951,-122.3070742,47.58879951
10477,456298,-122.3112349,47.6914485,-122.3112349,47.6914485
10478,457806,-122.3109906,47.69323183,-122.3109906,47.69323183
10479,0,-122.3109906,47.69323183,-122.3109906,47.69323183
10480,200687,-122.3088051,47.58910903,-122.3088051,47.58910903
10481,429740,-122.3536844,47.62786557,-122.3536844,47.62786557
10482,10872382,-122.3179475,47.61499095,-122.3179475,47.61499095
10483,10872382,-122.3179475,47.61499095,-122.3179475,47.61499095
10484,1,-122.313484,47.58909537,-122.3134839,47.58909537
10485,273519,-122.2998598,47.58856783,-122.2998598,47.58856783
10486,273519,-122.2998598,47.58856783,-122.2998598,47.58856783
10487,413696,-122.3881218,47.58964635,-122.3881218,47.58964635
10488,68576,-122.3640805,47.63323163,-122.3640805,47.63323163
10489,6487084,-122.3210776,47.61496919,-122.3210776,47.61496919
10490,250000,-122.3118794,47.62428126,-122.3118794,47.62428126
10491,70113,-122.310843,47.69468272,-122.310843,47.69468272
10492,337990,-122.3777117,47.67076439,-122.3777117,47.67076439
10493,242200,-122.3777406,47.67578904,-122.3777406,47.67578904
10494,0,-122.3777406,47.67578904,-122.3777406,47.67578904
10495,242200,-122.3777406,47.67578904,-122.3777406,47.67578904
10496,187892,-122.3776706,47.67423857,-122.3776706,47.67423857
10497,187892,-122.3777631,47.67423571,-122.3777631,47.67423571
10498,1196231,-122.3121936,47.63335379,-122.3121936,47.63335378
10499,273519,-122.2998574,47.5884456,-122.2998574,47.5884456
10500,273519,-122.2998574,47.5884456,-122.2998574,47.5884456
